#SET|Q|ID|DIFF|KEY|FMT|FIG|STEM|CHOICES|DISTRACTOR_LOGIC
Equivalent Expressions 1|1.18|5d93c782|372|B|mcq|-|Which expression is equivalent to x^2+3x-40?|(x-4)(x+10);(x-5)(x+8);(x-8)(x+5);(x-10)(x+4)|A/D=factor pair gives wrong middle term; B=CORRECT; C=signs swapped (gives -3x)
Equivalent Expressions 1|1.19|0536ad4f|368|B|mcq|-|Which expression is equivalent to 20w-(4w+3w)?|10w;13w;19w;21w|A=misc; B=20w-7w CORRECT; C=subtracted only 4w then added; D=distributed the minus to only one term
Equivalent Expressions 1|1.20|67e866b5|370|D|mcq|-|Which expression is equivalent to 9x^2+7x^2+9x?|63x^4+9x;9x^2+16x;25x^5;16x^2+9x|A=multiplied coefficients; B=combined x^2 with x; C=added all exponents; D=CORRECT
Equivalent Expressions 1|1.21|70482e20|368|B|mcq|-|Which expression is equivalent to 11x^3-5x^3?|16x^3;6x^3;6x^6;16x^6|A=added instead of subtracting; B=CORRECT; C=subtracted coefficients but added exponents; D=both errors
Equivalent Expressions 1|1.22|50338a48|385|A|mcq|-|Which expression is equivalent to 15w^2+8w?|w(15w+8);8w(15w+1);15w^2(8w+1);23(w^2+w)|A=GCF w CORRECT; B/C=factored out a non-common factor; D=added coefficients
Equivalent Expressions 1|1.23|290cdc2c|420|B|mcq|-|Which expression is equivalent to x^(1/14), where x>0?|(1/14)*x;14th root of x;14*x;sqrt(x^14)|A=treated exponent as a coefficient; B=CORRECT; C=multiplied by 14; D=inverted the exponent
Equivalent Expressions 1|1.24|18c7c3e0|381|B|mcq|-|Which expression is equivalent to 13x^2-7x^2?|-91x^2;6x^2;20x^2;40x^2|A=multiplied and negated; B=CORRECT; C=added instead; D=misc
Equivalent Expressions 1|1.25|8f82ad81|381|A|mcq|-|Which expression is equivalent to 4(x^2+6)?|4x^2+24;4x^2+10;4x^2+6;4x^2-2|A=CORRECT; B=added 4+6; C=failed to distribute; D=subtracted
Equivalent Expressions 2|2.1|dd4ab4c4|498|B|mcq|-|Which is a factor of 4a^2+20ab+25b^2?|a+b;2a+5b;4a+5b;4a+25b|A=ignored coefficients; B=(2a+5b)^2 CORRECT; C/D=used the original coefficients instead of their square roots
Equivalent Expressions 2|2.2|b8caaf84|438|B|mcq|-|If p=3x+4 and v=x+5, which is equivalent to pv-2p+v?|3x^2+12x+7;3x^2+14x+17;3x^2+19x+20;3x^2+26x+33|A=sign error; B=CORRECT; C=computed pv only (forgot -2p+v); D=added 2p instead of subtracting
Equivalent Expressions 2|2.3|ad2ec615|432|B|mcq|-|Which is equivalent to x^4-x^2-6?|(x^2+1)(x^2-6);(x^2+2)(x^2-3);(x^2+3)(x^2-2);(x^2+6)(x^2-1)|A/D=factor pair of -6 with wrong middle term; B=CORRECT; C=signs swapped (gives +x^2)
Equivalent Expressions 2|2.4|42c71eb5|459|A|mcq|-|Which is equivalent to (2x+5)^2-(x-2)+2(x+3)?|4x^2+21x+33;4x^2+21x+29;4x^2+x+29;4x^2+x+33|A=CORRECT; B/C=dropped or mis-signed constants; C/D=failed to distribute the minus sign
Equivalent Expressions 2|2.5|a05bd3a4|450|C|mcq|-|Which is equivalent to x^2-5?|(x+sqrt5)^2;(x-sqrt5)^2;(x+sqrt5)(x-sqrt5);(x+5)(x-1)|A/B=perfect square (introduces a middle term); C=difference of squares CORRECT; D=treated 5 as a product pair
Equivalent Expressions 2|2.6|cc776a04|435|C|mcq|-|Which is an equivalent form of (1.5x-2.4)^2-(5.2x^2-6.4)?|-2.2x^2+1.6;-2.2x^2+11.2;-2.95x^2-7.2x+12.16;-2.95x^2-7.2x+0.64|A/B=forgot the middle term of the square; C=CORRECT; D=sign error on the constant
Equivalent Expressions 2|2.7|a520ba07|452|B|mcq|-|Which is equivalent to the cube root of x^3y^6?|y^2;xy^2;y^3;xy^3|A=dropped x; B=CORRECT; C/D=divided the y exponent by 2 instead of 3
Equivalent Expressions 2|2.8|5b6af6b1|371|C|mcq|-|Which expression is equivalent to (d-6)(8d^2-3)?|8d^3-14d^2-3d+18;8d^3-17d^2+48;8d^3-48d^2-3d+18;8d^3-51d^2+48|A=arithmetic slip on the d^2 term; B/D=combined unlike terms; C=CORRECT
Equivalent Expressions 2|2.9|a255ae72|452|B|mcq|-|If x^2=a+b and y^2=a+c, which is equal to (x^2-y^2)^2?|a^2-2ac+c^2;b^2-2bc+c^2;4a^2-4abc+c^2;4a^2-2abc+b^2c^2|A=kept the a terms; B=(b-c)^2 CORRECT; C/D=added instead of subtracting so a did not cancel
Equivalent Expressions 2|2.10|463eec13|519|D|mcq|-|If x is nonzero, which is equivalent to sqrt(16x^4y^8)/x^3?|8x^2y^4;4xy^4;4x^-2y^2;4x^-1y^4|A=halved 16 instead of taking the square root; B=subtracted exponents wrong; C=halved the y exponent twice; D=CORRECT
Equivalent Expressions 2|2.11|a1bf1c4e|439|B|mcq|-|Which is equivalent to x^2+6x+4?|(x+3)^2+5;(x+3)^2-5;(x-3)^2+5;(x-3)^2-5|A=added instead of subtracting 9; B=CORRECT; C/D=wrong sign inside the square
Equivalent Expressions 2|2.12|f237ccfc|286|32|spr|-|The sum of -2x^2+x+31 and 3x^2+7x-8 is ax^2+bx+c. What is a+b+c?|-|SPR: x^2+8x+23 so 1+8+23=32
Equivalent Expressions 2|2.13|a391ed22|303|2.5|spr|-|(1/2 x + 3/2)(3/2 x + 1/2) equals ax^2+bx+c. What is b?|-|SPR: (1/2)(1/2)+(3/2)(3/2)=1/4+9/4=2.5
Equivalent Expressions 2|2.14|c3a72da5|432|D|mcq|-|Which is equivalent to the sum of 3x^4+2x^3 and 4x^4+7x^3?|16x^14;7x^8+9x^6;12x^4+14x^3;7x^4+9x^3|A=added everything; B=added exponents too; C=multiplied coefficients; D=CORRECT
Equivalent Expressions 2|2.15|16de54c7|285|4|spr|-|2x^2+5x-12 rewritten as (2x-3)(x+k). What is k?|-|SPR: k=4; error -4 (sign) or 3
Equivalent Expressions 2|2.16|d9137a84|374|D|mcq|-|Which represents the product of (x^-6y^3z^5) and (x^4z^5+y^8z^-7)?|x^-2z^10+y^11z^-2;x^-2z^10+x^-6z^-2;x^-2y^3z^10+y^8z^-7;x^-2y^3z^10+x^-6y^11z^-2|A/B=dropped y factors; C=failed to distribute to the second term; D=CORRECT
Equivalent Expressions 2|2.17|3e9cc0c2|433|B|mcq|-|Which is equivalent to (1-p)(1+p+p^2+p^3+p^4+p^5+p^6)?|1-p^8;1-p^7;1-p^6;1-p^5|Telescoping gives 1-p^(n+1) with n=6; A=off by one high; B=CORRECT; C=used the highest power shown; D=off by one low
Equivalent Expressions 2|2.18|7348f046|497|C|mcq|-|Which is equivalent to (2x+3)-(x-7)?|x-4;3x-4;x+10;2x^2+21|A=failed to distribute minus to -7; B=added x terms; C=CORRECT; D=multiplied instead
Equivalent Expressions 2|2.19|b47419f4|524|A|mcq|-|Which is equivalent to (1/2 x+3)-(2/3 x-5)?|-1/6 x+8;-1/6 x-2;-1/3 x^2+1/2 x+15;-1/3 x^2-9/2 x-15|A=CORRECT; B=failed to distribute minus to -5; C/D=multiplied the binomials instead of subtracting
Equivalent Expressions 2|2.20|8838a672|457|B|mcq|-|Which is equivalent to (4x^3-5x^2+3)-(6x^3+2x^2-x)?|-10x^3-3x^2+x+3;-2x^3-7x^2+x+3;-2x^3-3x^2+x+3;10x^3-7x^2-x+3|A=subtracted the cubic wrong; B=CORRECT; C=sign slip on x^2; D=added instead of subtracting
Equivalent Expressions 2|2.21|0b3d25c5|524|D|mcq|-|Which is equivalent to the 4th root of x^2+8x+16, where x>0?|(x+4)^4;(x+4)^2;(x+4);(x+4)^(1/2)|A=multiplied exponents; B=ignored the root; C=took the square root only; D=(x+4)^(2/4) CORRECT
Equivalent Expressions 2|2.22|c602140f|454|B|mcq|-|Which is equivalent to (x-11y)(2x-3y)-12y(-2x+3y)?|x-23y;2x^2-xy-3y^2;2x^2+24xy+36y^2;2x^2-49xy+69y^2|A=combined unlike terms; B=CORRECT; C/D=sign errors distributing the -12y
Equivalent Expressions 2|2.23|3206b905|396|D|mcq|-|Which is equivalent to 8x^10-8x^9+88x?|x(7x^10-7x^9+87x);x(8^10-8^9+88);8x(x^10-x^9+11x);8x(x^9-x^8+11)|A=subtracted 1 from coefficients; B=applied the exponent to 8; C=failed to reduce the x exponents; D=CORRECT
Equivalent Expressions 2|2.24|26eb61c1|373|C|mcq|-|Which is equivalent to 6x^8y^2+12x^2y^2?|6x^2y^2(2x^6);6x^2y^2(x^4);6x^2y^2(x^6+2);6x^2y^2(x^4+2)|A=dropped the second term; B=dropped a term and wrong exponent; C=CORRECT; D=divided the exponent instead of subtracting
Equivalent Expressions 2|2.25|6d04c89d|371|A|mcq|-|24/(6x+42) equals 4/(x+b). What is b?|7;10;24;252|A=42/6=7 CORRECT; B=misc; C=numerator; D=42*6
Equivalent Expressions 3|3.1|371cbf6b|427|C|mcq|-|(ax+3)(5x^2-bx+4)=20x^3-9x^2-2x+12 for all x. What is ab?|18;20;24;40|a=4 from leading term, then -ab+15=-9 gives ab=24; A/B/D=solved for a or b alone or mismatched terms; C=CORRECT
Equivalent Expressions 3|3.2|40c09d66|337|7/6|spr|-|sqrt(x^5)/cuberoot(x^4)=x^(a/b) for all positive x. What is a/b?|-|SPR: 5/2-4/3=7/6
Equivalent Expressions 3|3.3|34847f8a|523|C|mcq|-|2/(x-2)+3/(x+5)=(rx+t)/((x-2)(x+5)) for x>2. What is rt?|-20;15;20;60|Numerator is 5x+4 so rt=20; A=sign error; B=r+t+? ; C=CORRECT; D=used 12 from cross terms
Equivalent Expressions 3|3.4|137cc6fd|257|4/225|spr|-|5th root of 70n times (6th root of 70n)^2 equals (70n)^(30x), n>1. What is x?|-|SPR: 1/5+1/3=8/15; 30x=8/15 so x=4/225
Equivalent Expressions 3|3.5|ea6d05bb|239|-419|spr|-|(3x-23)(19x+6) equals ax^2+bx+c. What is b?|-|SPR: 3*6+(-23)(19)=18-437=-419
Equivalent Expressions 3|3.6|d8789a4c|486|A|mcq|-|(x^2-c)/(x-b) with b,c positive integers is equivalent to x+b for x not equal b. Which could be c?|4;6;8;10|Requires c=b^2 (a perfect square); A=4=2^2 CORRECT; B/C/D=not perfect squares
Equivalent Expressions 3|3.7|5355c0ef|246|0.09|spr|-|0.36x^2+0.63x+1.17 can be rewritten as a(4x^2+7x+13). What is a?|-|SPR: 0.36/4=0.09
Equivalent Expressions 3|3.8|c81b6c57|509|B|mcq|-|3(2x^2+px+8)-16x(p+4) is equivalent to 6x^2-155x+24. What is p?|-3;7;13;155|Coefficient of x is 3p-16p-64=-13p-64=-155 so p=7; A/C=sign or arithmetic slips; B=CORRECT; D=copied the constant
Equivalent Expressions 3|3.9|2c88af4d|582|D|mcq|-|(x^-2 y^(1/2))/(x^(1/3) y^-1), x>1 and y>1, is equivalent to which?|sqrt(y)/cuberoot(x^2);y sqrt(y)/cuberoot(x^2);y sqrt(y)/(x sqrt x);y sqrt(y)/(x^2 cuberoot x)|Exponents: x^(-7/3) y^(3/2); A=dropped the y from y^-1; B/C=wrong x exponent; D=CORRECT
Equivalent Expressions 3|3.10|22fd3e1f|595|D|mcq|-|f(x)=x^3-9x and g(x)=x^2-2x-3. Which is equivalent to f(x)/g(x) for x>3?|1/(x+1);(x+3)/(x+1);x(x-3)/(x+1);x(x+3)/(x+1)|Cancel (x-3); A/B=over-cancelled; C=cancelled the wrong factor; D=CORRECT
Equivalent Expressions 3|3.11|a0b4103e|433|D|mcq|-|(1/3)x^2-2 can be rewritten as (1/3)(x-k)(x+k), k positive. What is k?|2;6;sqrt(2);sqrt(6)|Factor out 1/3 to get x^2-6 so k=sqrt(6); A=used the 2; B=used 6 without the root; C=sqrt of 2; D=CORRECT
Equivalent Expressions 3|3.12|ad038c19|561|D|mcq|-|Which is equivalent to (a+b/2)^2?|a^2+b^2/2;a^2+b^2/4;a^2+ab/2+b^2/2;a^2+ab+b^2/4|A/B=omitted the middle term; C=halved the middle term and mis-squared; D=CORRECT
Equivalent Expressions 3|3.13|12e7faf8|507|C|mcq|-|(x^2+6x-7)/(x+7)=ax+d for all x not equal -7. What is a+d?|-6;-1;0;1|Simplifies to x-1 so a=1,d=-1,a+d=0; A=used 6 and -7; B=gave d only; C=CORRECT; D=gave a only
Equivalent Expressions 3|3.14|89fc23af|527|D|mcq|-|Which is equivalent to (x^2-2x-5)/(x-3)?|x-5-20/(x-3);x-5-10/(x-3);x+1-8/(x-3);x+1-2/(x-3)|Long division gives quotient x+1 remainder -2; A/B=wrong quotient; C=wrong remainder; D=CORRECT
Equivalent Expressions 3|3.15|911c415b|326|6632|spr|-|(7532+100y^2)+10(10y^2-110) equals ay^2+b. What is a+b?|-|SPR: 200y^2+6432 so 200+6432=6632
Equivalent Expressions 3|3.16|f89e1d6f|444|C|mcq|-|If a=c+d, which is equivalent to x^2-c^2-2cd-d^2?|(x+a)^2;(x-a)^2;(x+a)(x-a);x^2-ax-a^2|Grouping gives x^2-(c+d)^2=x^2-a^2; A/B=perfect square instead of difference; C=CORRECT; D=mis-expanded
Equivalent Expressions 3|3.17|e117d3b8|441|C|mcq|-|If a and c are positive, which is equivalent to sqrt((a+c)^3)*sqrt(a+c)?|a+c;a^2+c^2;a^2+2ac+c^2;a^2c^2|Exponents 3/2+1/2=2 so (a+c)^2; A=took only the first root; B=squared termwise; C=CORRECT; D=multiplied terms
Equivalent Expressions 3|3.18|42f8e4b4|240|8|spr|-|One factor of 2x^3+42x^2+208x is x+b, b positive. What is the smallest possible b?|-|SPR: 2x(x+8)(x+13) so b=8 or 13; smallest 8
Equivalent Expressions 3|3.19|433184f1|392|D|mcq|-|Which is equivalent to 4/(4x-5)-1/(x+1)?|1/((x+1)(4x-5));3/(3x-6);-1/((x+1)(4x-5));9/((x+1)(4x-5))|Numerator 4(x+1)-(4x-5)=9; A=numerator 1; B=subtracted numerators and denominators separately; C=sign error; D=CORRECT
Equivalent Expressions 3|3.20|c3b116d7|424|B|mcq|roman-numeral|Which is(are) a factor of 3x^2+20x-63? I. x-9  II. 3x-7|I only;II only;I and II;Neither|Factors are (3x-7)(x+9); I is wrong sign; B=II only CORRECT; C/D=misfactored
Evaluating Statistical Claims 1|1.1|9bf4c545|469|D|mcq|-|City council surveyed 500 residents who own dogs about a dog park. Which is true about the survey?|Shows majority of residents favor;Should have included more dog owners;Should have been entirely non-dog-owners;Sample is biased because not representative|A=overgeneralizes from a biased sample; B=would worsen the bias; C=overcorrects to the opposite bias; D=CORRECT
Evaluating Statistical Claims 1|1.2|82dfb646|469|D|mcq|-|200 people chosen at random from people who liked a book watched the movie; 95% disliked it. Which inference is appropriate?|95% of moviegoers will dislike;95% of book readers will dislike;Most who dislike the book will like the movie;Most who like the book will dislike the movie|Inference limited to the sampled population (people who liked the book); A/B=wrong population; C=reverses the group; D=CORRECT
Evaluating Statistical Claims 2|2.1|37930b2a|515|A|mcq|roman-numeral|Random sample of 200 town residents, 87% satisfied. Which must be true? I. 87% of all residents satisfied  II. Another sample of 200 would also give 87%|Neither;I only;II only;I and II|A sample proportion neither equals the parameter nor repeats exactly; A=Neither CORRECT; B/C/D=treat the sample statistic as exact
Evaluating Statistical Claims 2|2.2|b4f5a7ca|444|C|mcq|-|Sample of history professors selected at random from the California State Universities. Largest population to generalize to?|All professors in the US;All history professors in the US;All history professors at all CSUs;All professors at all CSUs|Generalize only to the sampled frame; A/B=too broad; C=CORRECT; D=broader than the sampled subgroup
Evaluating Statistical Claims 2|2.3|642519d7|609|A|mcq|roman-numeral|1000 adults selected at random from a large city, 78% satisfied with air quality. Which must be true? (1 population equals 78, 2 another sample gives 78, 3 a different city gives 78)|None;II only;I and II only;I and III only|No statement must be true: sampling variability and a different population; A=CORRECT
Evaluating Statistical Claims 3|3.1|1ea09200|469|B|mcq|-|Random sample of 40 fourth-grade students from a certain school. Largest population the results apply to?|The 40 students;All fourth-grade students at the school;All students at the school;All fourth-graders in the county|A=too narrow (sample itself); B=CORRECT; C/D=broader than the sampling frame
Evaluating Statistical Claims 3|3.2|7d68096f|686|D|mcq|two-way-table|55 teams selected at random from all trivia teams in a tournament; table shows the 40 that practiced 3+ hours. Largest population to generalize to?|Teams scoring 14+;The 55 teams in the sample;The 40 teams practicing 3+ hours;All trivia teams in the tournament|Random selection was from all teams in the tournament; A/C=subgroups shown in the table; B=the sample itself; D=CORRECT
Evaluating Statistical Claims 3|3.3|7ce2830a|542|B|mcq|-|Random sample of 35 students from all students at one middle school in a large city. Largest group to generalize to?|The 35 students;All students at the school;All middle school students in the city;All students in the city|A=the sample; B=CORRECT; C/D=broader than the school sampled
Evaluating Statistical Claims 3|3.4|aa43b41f|493|B|mcq|-|Cable news website poll: 28% Yes, 70% No. Why are results unlikely to represent the US population?|Percentages do not add to 100;Respondents were not a random sample;Not 50-50 split;Not enough time to respond|A=irrelevant (undecided exist); B=voluntary response bias CORRECT; C/D=irrelevant to representativeness
Evaluating Statistical Claims 3|3.5|4a422e3e|518|C|mcq|-|Tabitha surveyed 20 families at a playground to find mean children per household; mean was 2.4. Which must be true?|Community mean is 2.4;Should not determine because sample too small;Sampling method is flawed and may be biased;Method is not flawed and likely unbiased|A=treats a convenience sample as the population; B=blames size rather than the real flaw; C=CORRECT (playground oversamples families with children); D=opposite
Evaluating Statistical Claims 3|3.6|6fca0144|465|D|mcq|-|50 baobab trees aged 17 randomly selected in a habitat, randomly assigned to two watering groups. Largest group results apply to?|The 50 trees selected;All 19-year-old trees in the habitat;All 17-year-old trees in South Africa;All 17-year-old trees in this habitat|A=the sample; B=wrong age; C=broader than the habitat sampled; D=CORRECT
Linear Equations in One Variable 1|1.1|097e10f5|369|A|mcq|-|What value of p satisfies the equation 5p+180=250?|14;65;86;250|A=(250-180)/5 CORRECT; B=250/5-... (divided before subtracting incorrectly); C=misc; D=copied the constant
Linear Equations in One Variable 1|1.2|997bec28|242|35|spr|-|The perimeter of an isosceles triangle is 83 inches. Each of the two congruent sides is 24 inches. What is the third side?|-|SPR: 83-2(24)=35; error 59 (subtracted one side only)
Linear Equations in One Variable 1|1.3|6ac23de7|444|A|mcq|-|4x/5=20. What is x?|25;24;16;15|A=20*5/4 CORRECT; B=misc; C=20*4/5 (inverted the fraction); D=20-5
Linear Equations in One Variable 1|1.4|7392dfc1|427|D|mcq|-|Which is equivalent to 4x+6=12?|2x+4=6;x+3=3;3x+2=4;2x+3=6|A=divided only some terms by 2; B=divided inconsistently; C=divided by different numbers; D=divided every term by 2 CORRECT
Linear Equations in One Variable 1|1.5|93954cfa|450|A|mcq|-|One pound of grapes costs $2. How many dollars will c pounds cost?|2c;2+c;2/c;c/2|A=CORRECT; B=added instead of multiplying; C/D=divided (rate inverted)
Linear Equations in One Variable 1|1.6|3d04de9c|393|A|mcq|-|A principal used 25 flags total, blue or yellow, and 20 were blue. How many yellow flags?|5;20;25;30|A=25-20 CORRECT; B=copied blue count; C=copied total; D=added
Linear Equations in One Variable 1|1.7|60f71697|394|A|mcq|-|8x=88. What value of x is the solution?|11;80;96;704|A=88/8 CORRECT; B=88-8; C=88+8; D=88*8
Linear Equations in One Variable 1|1.8|550b352c|428|B|mcq|-|10=2x+4. How many solutions exist?|None;Exactly 1;Exactly 3;Infinitely many|A linear equation with one variable term has exactly one solution; B=CORRECT; A/C/D=confuse with no-solution or identity cases
Linear Equations in One Variable 1|1.9|ed18c4f7|419|D|mcq|-|Cathy has n CDs. Gerry has 3 more than twice the number Cathy has. In terms of n, how many CDs does Gerry have?|3n-2;3n+2;2n-3;2n+3|A/B=swapped the roles of 2 and 3; C=subtracted instead of adding; D=CORRECT
Linear Equations in One Variable 1|1.10|12255364|418|C|mcq|-|A gym charges a onetime 36 dollar enrollment fee and 19 dollars per month. After how many months is the total 188 dollars?|4;5;8;10|Solve 36+19m=188; A/B=too few months; C=CORRECT; D=ignored the enrollment fee
Linear Equations in One Variable 1|1.11|d9d83c02|471|D|mcq|-|For what value of w does w-10=2(w+5)?|5;0;-15;-20|Distribute then isolate; A/B/C=sign or distribution errors; D=-20 CORRECT
Linear Equations in One Variable 1|1.12|7a987ae4|428|B|mcq|-|If 2n/5=10, what is the value of 2n-1?|24;49;50;99|2n=50 so 2n-1=49; A=solved for n then subtracted; C=gave 2n; D=doubled twice; B=CORRECT
Linear Equations in One Variable 1|1.13|9ff10b3b|512|C|mcq|-|If (1/2)x-(1/6)x=1, what is the value of x?|-4;1/3;3;6|Combine to (1/3)x=1; A/B=inverted or sign error; C=CORRECT; D=used 1/6 only
Linear Equations in One Variable 1|1.14|4e77195b|217|480|spr|-|If 2+x=60, what is the value of 16+8x?|-|SPR: 8(2+x)=8(60)=480
Linear Equations in One Variable 1|1.15|4f7981a0|249|24|spr|-|If 3x+2=8, what is the value of 9x+6?|-|SPR: 3(3x+2)=3(8)=24
Linear Equations in One Variable 1|1.16|46f68129|417|B|mcq|-|A librarian has 43 books. Giving each child 2 books leaves 7 books left over. How many children are in the group?|15;18;25;29|Solve 2c+7=43; A/C/D=added instead of subtracting or divided wrong; B=18 CORRECT
Linear Equations in One Variable 1|1.17|e53870b6|274|5|spr|-|6x+k=6x+5 has infinitely many solutions. What is the value of k?|-|SPR: k=5 (constants must match)
Linear Equations in One Variable 1|1.18|70774aa4|369|D|mcq|-|If 5x=20, what is the value of 15x?|7;12;23;60|Multiply both sides by 3; A/B/C=solved for x then mis-scaled; D=60 CORRECT
Linear Equations in One Variable 1|1.19|a9c04a21|401|C|mcq|-|What is the solution to the equation 2x+3=7?|1;1.5;2;4|A/B=divided before subtracting; C=CORRECT; D=subtracted only
Linear Equations in One Variable 1|1.20|590f2187|391|B|mcq|-|If 3x-27=24, what is the value of x-9?|1;8;24;35|Divide the whole equation by 3; A/C/D=solved for x or copied a constant; B=8 CORRECT
Linear Equations in One Variable 1|1.21|59afe8db|391|A|mcq|-|3x+5(x+4)=76. What value of x is the solution?|7;8;56;72|Distribute then solve 8x+20=76; A=7 CORRECT; B=off by one; C/D=partial results before dividing
Linear Equations in One Variable 1|1.22|c7d7980e|223|8|spr|-|13x=112-x. What value of x is the solution?|-|SPR: 14x=112 so x=8
Linear Equations in One Variable 1|1.23|40ba6288|391|B|mcq|-|If 3x=30, what is the value of 3x-12?|-2;18;22;42|Substitute 30 directly; A/C=solved for x first; B=18 CORRECT; D=added
Linear Equations in One Variable 1|1.24|87071893|242|55|spr|-|x+40=95. What value of x is the solution?|-|SPR: 55
Linear Equations in One Variable 1|1.25|3c4ce699|217|27|spr|-|If 6+x=9, what is the value of 18+3x?|-|SPR: 3(6+x)=3(9)=27
Linear Equations in One Variable 1|1.26|4de87c9a|370|D|mcq|-|3 more than 8 times a number x is equal to 83. Which equation represents this situation?|(3)(8)x=83;8x=83+3;3x+8=83;8x+3=83|A=multiplied both numbers; B=moved the 3 to the wrong side; C=swapped coefficient and constant; D=CORRECT
Linear Equations in One Variable 1|1.27|8339793c|266|10|spr|-|Nasir bought 9 storage bins at the same price, used a 63 dollar coupon, and paid 27 dollars total. What was the original price of 1 bin?|-|SPR: 9p-63=27 so p=10
Linear Equations in One Variable 1|1.28|2f0a43b2|222|0.2|spr|-|If x/8=5, what is the value of 8/x?|-|SPR: x=40 so 8/40=0.2; error 5 (inverted the equation instead)
Linear Equations in One Variable 1|1.29|4f8bd093|381|D|mcq|-|What value of x is the solution to 16x+24=24x?|-4;3/10;1/3;3|Collect x terms to get 24=8x; A/B/C=sign or division errors; D=3 CORRECT
Linear Equations in One Variable 1|1.30|9b886541|381|D|mcq|-|If 3x-8=7, what is the value of 3x+8?|-1;5;13;23|3x=15 so 3x+8=23; A/B=solved for x; C=added 8 to x not 3x; D=CORRECT
Linear Equations in One Variable 2|2.1|7a5a74a6|578|B|mcq|-|3(2x-6)-11=4(x-3)+6. If x is the solution, what is the value of x-3?|23/2;17/2;15/2;-15/2|x=23/2 so x-3=17/2; A=gave x itself; C/D=arithmetic or sign slips; B=CORRECT
Linear Equations in One Variable 2|2.2|aa85b138|478|B|mcq|-|2n+6=14 models a tree planted at 6 feet reaching 14 feet in n years. Best interpretation of the 2?|Years to double its height;Average feet the tree grew per year;Height in feet at 1 year old;Average years for similar trees to grow 14 feet|The 2 is the rate of change; A/C/D=misread slope as a time or an initial value; B=CORRECT
Linear Equations in One Variable 2|2.3|15daa8d6|242|2|spr|-|2x+16=a(x+8) has infinitely many solutions. What is the value of a?|-|SPR: a=2
Linear Equations in One Variable 2|2.4|12ee1edc|425|A|mcq|-|(b-2)x=8 has no solution. What is the value of b?|2;4;6;10|No solution requires the x-coefficient to vanish while the constant does not; A=2 CORRECT; B/C/D=arbitrary
Linear Equations in One Variable 2|2.5|70e29454|452|B|mcq|-|a(3-x)-b=-1-2x has infinitely many solutions. What are the values of a and b?|a=2 and b=1;a=2 and b=7;a=-2 and b=5;a=-2 and b=-5|Match coefficients: -a=-2 and 3a-b=-1; A=wrong b; C/D=sign error on a; B=CORRECT
Linear Equations in One Variable 2|2.6|f09097b1|364|22.4|spr|-|A corn plant grew an average of 1.20 cm per day for 12 days, ending at 36.8 cm. What was the height at the beginning?|-|SPR: 36.8-12(1.20)=22.4
Linear Equations in One Variable 2|2.7|4f669597|274|1.2|spr|-|2(p+1)+8(p-1)=5p. What value of p is the solution?|-|SPR: 10p-6=5p so p=1.2
Linear Equations in One Variable 2|2.8|ce314070|489|D|mcq|-|If 4x-1/2=-5, what is the value of 8x-1?|2;-9/8;-5/2;-10|Double the whole equation; A/B/C=solved for x then mis-substituted; D=-10 CORRECT
Linear Equations in One Variable 2|2.9|36ab4122|443|B|mcq|-|Megan earns p dollars per hour for the first 8 hours plus 1.5 times that rate beyond 8 hours. She worked 10 hours and earned 137.50 dollars. What is p?|11.75;12.50;13.25;13.75|8p+2(1.5p)=11p=137.50; A/C=wrong overtime multiplier; D=137.50/10 (ignored overtime); B=CORRECT
Linear Equations in One Variable 2|2.10|5ad9eff0|444|B|mcq|-|A rectangular dance floor has width w feet and length 6 feet longer. Which expresses the perimeter in terms of w?|2w+6;4w+12;w^2+6;w^2+6w|A=one length plus one width only; B=2(w+w+6) CORRECT; C/D=area expressions
Linear Equations in One Variable 2|2.11|45bba652|409|A|mcq|-|If 2(x-5)+3(x-5)=10, what is the value of x-5?|2;5;7;12|5(x-5)=10 so x-5=2; A=CORRECT; B/C/D=solved for x instead
Linear Equations in One Variable 2|2.12|eafdbbbd|395|C|mcq|-|(1/4)(x+5)-(1/3)(x+5)=-7. What value of x is the solution?|-12;-5;79;204|(-1/12)(x+5)=-7 so x+5=84; A/B=sign errors; C=79 CORRECT; D=used 1/4+1/3
Linear Equations in One Variable 2|2.13|8c515062|393|D|mcq|-|A 17-ounce candle loses 1 ounce every 4 hours. If 6 ounces remain, how many hours has it been burning?|3;6;24;44|11 ounces burned times 4 hours; A/B=ounces not hours; C=used the 6 remaining; D=44 CORRECT
Linear Equations in One Variable 2|2.14|ce6b52d8|218|60|spr|-|If 2(3t-10)+t=40+4t, what is the value of 3t?|-|SPR: t=20 so 3t=60
Linear Equations in One Variable 2|2.15|620abf36|369|C|mcq|-|If 5(x+4)=4(x+4)+29, what is the value of x+4?|-4;25;29;33|Treat (x+4) as a unit: it equals 29; A/B=solved for x; C=CORRECT; D=added 4 to 29
Linear Equations in One Variable 2|2.16|76f29fa5|437|C|mcq|-|Boat rental is 950 dollars for the first 2 hours plus 50 dollars per hour after. Total for t hours (t>2) is 1100 dollars. Which equation represents this?|950(t-2)+50t=1100;950(2t)+50t=1100;950+50(t-2)=1100;950+50(2t)=1100|A/B=multiplied the flat fee by time; C=CORRECT; D=doubled the hours instead of subtracting
